SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,8025 Redlands St #1,Playa Del Rey,CA,90293,924000,4,2.5,C31 - Playa Del Rey,1428,34889,1970,83,647,390,Active,,,https://www.redfin.com/CA/Venice/8025-Redlands-St-90293/unit-1/home/6627200,CRMLS,SB23124425,N,Y,33.9580346,-118.4346953
MLS Listing,,Townhouse,8687 Falmouth Ave #114,Playa Del Rey,CA,90293,899000,2,2.5,Playa Del Rey,1338,162350,1983,1,672,546,Active,October-8-2023 02:00 PM,October-8-2023 05:00 PM,https://www.redfin.com/CA/Playa-del-Rey/8687-Falmouth-Ave-90293/unit-114/home/6631178,TheMLS,23-311391,N,Y,33.9552809,-118.4353807
MLS Listing,,Condo/Co-op,8515 Falmouth Ave #421,Playa Del Rey,CA,90293,835000,2,2.0,Playa Del Rey,1147,62893,1984,4,728,470,Active,October-7-2023 02:00 PM,October-7-2023 05:00 PM,https://www.redfin.com/CA/Venice/8515-Falmouth-Ave-90293/unit-421/home/6631752,TheMLS,23-305417,N,Y,33.9578635,-118.4377506
MLS Listing,,Single Family Residential,7032 Trask Ave,Playa Del Rey,CA,90293,1699000,3,2.0,Playa Del Rey,1308,4979,1953,5,1299,,Active,,,https://www.redfin.com/CA/Venice/7032-Trask-Ave-90293/home/6625525,TheMLS,23-316483,N,Y,33.9574989,-118.445202
MLS Listing,,Single Family Residential,7008 Rindge Ave,Playa Del Rey,CA,90293,3199000,4,3.0,Playa Del Rey,2401,5202,1953,6,1332,,Active,October-8-2023 02:00 PM,October-8-2023 05:00 PM,https://www.redfin.com/CA/Venice/7008-Rindge-Ave-90293/home/6625242,TheMLS,23-316533,N,Y,33.9569918,-118.446825
MLS Listing,,Single Family Residential,6673 Vista Del Mar,Venice,CA,90293,2188888,3,2.0,Playa Del Rey,2008,2133,1978,8,1090,,Active,October-8-2023 02:00 PM,October-8-2023 05:00 PM,https://www.redfin.com/CA/Venice/6673-Vista-del-Mar-90293/home/6624616,TheMLS,23-311411,N,Y,33.9598379,-118.4487908
MLS Listing,,Condo/Co-op,8828 Pershing Dr #123,Playa Del Rey,CA,90293,979000,2,2.5,Playa Del Rey,1603,85345,1981,8,611,585,Active,October-7-2023 01:00 PM,October-7-2023 04:00 PM,https://www.redfin.com/CA/Playa-del-Rey/8828-Pershing-Dr-90293/unit-123/home/6630688,TheMLS,23-315531,N,Y,33.9532637,-118.4396311
MLS Listing,,Condo/Co-op,8675 Falmouth Ave #322,Playa Del Rey,CA,90293,695000,1,1.0,Playa Del Rey,842,162350,1983,12,825,492,Active,,,https://www.redfin.com/CA/Playa-del-Rey/8675-Falmouth-Ave-90293/unit-322/home/6631111,TheMLS,23-314497,N,Y,33.9553399,-118.4353004
MLS Listing,,Condo/Co-op,8707 Falmouth Ave #318,Playa Del Rey,CA,90293,685000,1,1.0,Playa Del Rey,879,136650,1982,13,779,492,Active,October-7-2023 02:00 PM,October-7-2023 05:00 PM,https://www.redfin.com/CA/Playa-del-Rey/8707-Falmouth-Ave-90293/unit-318/home/6629720,TheMLS,23-314181,N,Y,33.9546513,-118.4348856
MLS Listing,,Single Family Residential,7920 W 79th St,Playa Del Rey,CA,90293,1795000,3,2.5,C31 - Playa Del Rey,2124,5002,1962,15,845,,Active,,,https://www.redfin.com/CA/Playa-del-Rey/7920-W-79th-St-90293/home/6623852,CRMLS,CV23172572,N,Y,33.9622606,-118.4354789
MLS Listing,,Townhouse,8176 Manitoba St #2,Playa Del Rey,CA,90293,950000,2,2.5,C31 - Playa Del Rey,1274,242044,1979,16,746,639,Active,,,https://www.redfin.com/CA/Venice/8176-Manitoba-St-90293/unit-2/home/6630012,CRMLS,PW23175826,N,Y,33.9552036,-118.4373483
MLS Listing,,Single Family Residential,7936 W 79th St,Playa Del Rey,CA,90293,2150000,4,3.0,Playa Del Rey,2123,5001,1963,17,1013,,Active,October-7-2023 01:00 PM,October-7-2023 04:00 PM,https://www.redfin.com/CA/Venice/7936-W-79th-St-90293/home/6623894,TheMLS,23-312225,N,Y,33.9618778,-118.4357377
MLS Listing,,Single Family Residential,7145 Trask Ave,Playa Del Rey,CA,90293,2250000,4,3.0,Playa Del Rey,2569,5260,1939,21,876,,Active,October-7-2023 02:00 PM,October-7-2023 05:00 PM,https://www.redfin.com/CA/Venice/7145-Trask-Ave-90293/home/6625454,TheMLS,23-311195,N,Y,33.9562323,-118.4453062
MLS Listing,,Condo/Co-op,7765 W 91st St Unit A3127,Playa Del Rey,CA,90293,679000,2,2.0,Playa Del Rey,1048,311704,1971,21,648,587,Active,October-8-2023 01:00 PM,October-8-2023 04:00 PM,https://www.redfin.com/CA/Playa-del-Rey/7765-W-91st-St-90293/unit-A3127/home/6634392,TheMLS,23-310399,N,Y,33.957737,-118.431768
MLS Listing,,Condo/Co-op,6220 Pacific Ave #204,Playa Del Rey,CA,90293,1269000,2,2.0,Playa Del Rey,1395,17039,1989,24,910,755,Active,October-8-2023 01:00 PM,October-8-2023 04:00 PM,https://www.redfin.com/CA/Venice/6220-Pacific-Ave-90293/unit-204/home/6624086,TheMLS,23-309855,N,Y,33.9622347,-118.452644
MLS Listing,,Condo/Co-op,8675 Falmouth Ave #219,Playa Del Rey,CA,90293,699000,2,1.0,C31 - Playa Del Rey,896,162350,1983,27,780,510,Active,October-7-2023 01:00 PM,October-7-2023 04:00 PM,https://www.redfin.com/CA/Playa-del-Rey/8675-Falmouth-Ave-90293/unit-219/home/6631039,CRMLS,SB23158593,N,Y,33.9553399,-118.4353004
MLS Listing,,Condo/Co-op,8505 Gulana Ave #5102,Los Angeles,CA,90293,599000,1,1.0,C31 - Playa Del Rey,727,96523,1986,28,824,622,Active,,,https://www.redfin.com/CA/Venice/8505-Gulana-Ave-90293/unit-5102/home/6632167,CRMLS,TR23167317,N,Y,33.9583329,-118.435427
MLS Listing,,Single Family Residential,7526 W 81st St,Playa Del Rey,CA,90293,1850000,4,3.0,C31 - Playa Del Rey,2898,5600,1986,30,638,,Active,,,https://www.redfin.com/CA/Playa-del-Rey/7526-W-81st-St-90293/home/6621848,CRMLS,SB23165934,N,Y,33.962727,-118.4296737
MLS Listing,,Condo/Co-op,7777 W 91st St Unit E2137,Playa Del Rey,CA,90293,555000,1,1.0,C31 - Playa Del Rey,722,311704,1971,35,769,587,Active,,,https://www.redfin.com/CA/Venice/7777-W-91st-St-90293/unit-E2137/home/6634172,CRMLS,SB23162828,N,Y,33.9570073,-118.4317757
MLS Listing,,Single Family Residential,7827 80th St,Playa Del Rey,CA,90293,1765000,4,2.0,Playa Del Rey,1822,5000,1959,36,969,,Active,,,https://www.redfin.com/CA/Venice/7827-W-80th-St-90293/home/6621111,TheMLS,23-299131,N,Y,33.9629882,-118.4337135
MLS Listing,,Condo/Co-op,7765 W 91st St Unit F3102,Playa Del Rey,CA,90293,640000,2,2.0,C31 - Playa Del Rey,1048,311704,1971,37,611,587,Active,October-7-2023 11:00 AM,October-7-2023 02:00 PM,https://www.redfin.com/CA/Playa-del-Rey/7765-W-91st-St-90293/unit-F3102/home/6634425,CRMLS,SB23155465,N,Y,33.957737,-118.431768
MLS Listing,,Single Family Residential,415 W Manchester Ave,Playa Del Rey,CA,90293,1539000,3,2.0,Playa Del Rey,1302,5996,1955,41,1182,,Active,,,https://www.redfin.com/CA/Playa-del-Rey/415-W-Manchester-Ave-90293/home/6625607,TheMLS,23-304925,N,Y,33.9561829,-118.4437342
MLS Listing,,Multi-Family (5+ Unit),7849 W Manchester Ave,Playa Del Rey,CA,90293,2490000,8,6.0,Playa Del Rey,4075,6251,1959,44,611,,Active,,,https://www.redfin.com/CA/Playa-Del-Rey/7849-W-Manchester-Ave-90293/home/186932956,TheMLS,23-302083,N,Y,33.9600463,-118.4343121
MLS Listing,,Condo/Co-op,7777 W 91st St Unit B2161,Playa Del Rey,CA,90293,750000,3,2.0,Playa Del Rey,1262,311704,1971,45,594,587,Active,October-8-2023 02:00 PM,October-8-2023 05:00 PM,https://www.redfin.com/CA/Playa-del-Rey/7777-W-91st-St-90293/unit-B2161/home/6634125,TheMLS,23-301731,N,Y,33.9570073,-118.4317757
MLS Listing,,Condo/Co-op,8828 Pershing Dr #205,Playa Del Rey,CA,90293,899999,2,2.0,C31 - Playa Del Rey,1407,85345,1981,55,640,587,Active,October-7-2023 02:00 PM,October-7-2023 04:30 PM,https://www.redfin.com/CA/Playa-del-Rey/8828-Pershing-Dr-90293/unit-205/home/6630769,CRMLS,TR23141618,N,Y,33.9532637,-118.4396311
MLS Listing,,Condo/Co-op,6690 Vista Del Mar Unit E,Playa Del Rey,CA,90293,1050000,3,2.0,Playa Del Rey,1737,8561,1975,55,604,600,Active,October-8-2023 02:00 PM,October-8-2023 05:00 PM,https://www.redfin.com/CA/Venice/6690-Vista-del-Mar-90293/unit-E/home/6624786,TheMLS,23-299311,N,Y,33.9595194,-118.4490724
MLS Listing,,Multi-Family (2-4 Unit),6635 Vista Del Mar,Playa Del Rey,CA,90293,2275000,3,4.0,Playa Del Rey,1960,2685,1948,55,1161,,Active,,,https://www.redfin.com/CA/Playa-del-Rey/6635-Vista-del-Mar-90293/home/6624591,TheMLS,23-292825,N,Y,33.960502,-118.449142
MLS Listing,,Multi-Family (2-4 Unit),6521 Pacific Ave,Playa Del Rey,CA,90293,2996000,3,4.0,Playa Del Rey,2748,1826,2003,57,1090,,Active,,,https://www.redfin.com/CA/Venice/6521-Pacific-Ave-90293/home/6624170,TheMLS,23-299137,N,Y,33.9602589,-118.4518556
MLS Listing,,Single Family Residential,8320 Zitola,Playa Del Rey,CA,90293,2240000,3,2.5,C31 - Playa Del Rey,2404,5460,1959,58,932,,Active,,,https://www.redfin.com/CA/Playa-del-Rey/8320-Zitola-Ter-90293/home/6622841,CRMLS,BB23130458,N,Y,33.9581858,-118.4423205
MLS Listing,,Multi-Family (2-4 Unit),6955 Trolleyway,Playa Del Rey,CA,90293,5495000,8,7.0,Playa Del Rey,3768,3279,1957,59,1458,,Active,,,https://www.redfin.com/CA/Venice/6955-Trolleyway-90293/home/6626102,TheMLS,23-297339,N,Y,33.9568269,-118.449934
MLS Listing,,Condo/Co-op,8163 Redlands St #59,Playa Del Ray,CA,90293,495000,1,1.0,Playa Del Ray,706,,1973,68,701,310,Active,,,https://www.redfin.com/CA/Venice/8163-Redlands-St-90293/unit-59/home/6627931,SDMLS,230014697,N,Y,33.9564981,-118.4382608
MLS Listing,,Condo/Co-op,8707 Falmouth Ave #114,Playa Del Rey,CA,90293,569000,1,1.0,C31 - Playa Del Rey,686,136778,1983,75,829,474,Active,,,https://www.redfin.com/CA/Venice/8707-Falmouth-Ave-90293/unit-114/home/6629533,CRMLS,OC23135126,N,Y,33.9546513,-118.4348856
MLS Listing,,Multi-Family (5+ Unit),8324 W Manchester Ave,Playa Del Rey,CA,90293,3595000,10,10.0,Playa Del Rey,5789,7375,1959,76,621,,Active,,,https://www.redfin.com/CA/Venice/8324-W-Manchester-Ave-90293/home/6628192,TheMLS,23-292483,N,Y,33.9564167,-118.4407096
MLS Listing,,Condo/Co-op,6400 Pacific Ave #104,Playa Del Rey,CA,90293,1049000,2,2.0,Playa Del Rey,1162,17755,1969,79,903,662,Active,October-8-2023 01:00 PM,October-8-2023 03:00 PM,https://www.redfin.com/CA/Venice/6400-Pacific-Ave-90293/unit-104/home/6624244,TheMLS,23-291301,N,Y,33.9611519,-118.4519574
MLS Listing,,Condo/Co-op,6220 Pacific Ave #303,Playa Del Rey,CA,90293,1449500,2,2.0,Playa Del Rey,1359,17039,1989,84,1067,749,Active,October-8-2023 01:00 PM,October-8-2023 04:30 PM,https://www.redfin.com/CA/Venice/6220-Pacific-Ave-90293/unit-303/home/6624106,TheMLS,23-284209,N,Y,33.9622347,-118.452644
MLS Listing,,Single Family Residential,8124 Billowvista Dr,Playa Del Rey,CA,90293,2399000,3,3.0,Playa Del Rey,3233,3417,1962,97,742,,Active,October-8-2023 01:00 PM,October-8-2023 04:00 PM,https://www.redfin.com/CA/Venice/8124-Billowvista-Dr-90293/home/6623114,TheMLS,23-269065,N,Y,33.9617017,-118.4426454
MLS Listing,,Condo/Co-op,8515 Falmouth Ave #406,Playa Del Rey,CA,90293,925000,2,2.0,Playa Del Rey,1367,62893,1984,132,677,470,Active,,,https://www.redfin.com/CA/Venice/8515-Falmouth-Ave-90293/unit-406/home/6631707,TheMLS,23-274223,N,Y,33.9578635,-118.4377506
MLS Listing,,Condo/Co-op,8675 Falmouth Ave #218,Playa Del Rey,CA,90293,629900,1,1.0,C31 - Playa Del Rey,686,162350,1983,192,918,474,Active,,,https://www.redfin.com/CA/Playa-del-Rey/8675-Falmouth-Ave-90293/unit-218/home/6631007,CRMLS,SR23031745,N,Y,33.9553399,-118.4353004
MLS Listing,,Multi-Family (2-4 Unit),408 Pershing Dr,Playa Del Rey,CA,90293,1923000,5,4.0,Playa Del Rey,2426,4834,1947,322,793,,Active,,,https://www.redfin.com/CA/Venice/408-Pershing-Dr-90293/home/6625015,TheMLS,22-218805,N,Y,33.9602319,-118.4458552
MLS Listing,,Multi-Family (2-4 Unit),380 Pershing Dr,Playa Del Rey,CA,90293,1274000,4,2.0,Playa Del Rey,1818,4830,1955,434,701,,Active,,,https://www.redfin.com/CA/Playa-del-Rey/380-Pershing-Dr-90293/home/6625017,TheMLS,22-183471,N,Y,33.9600939,-118.4460382
MLS Listing,,Vacant Land,6929 Vista Del Mar,Playa Del Rey,CA,90293,750000,,,C31 - Playa Del Rey,,5645,,734,,,Active,,,https://www.redfin.com/CA/Playa-Del-Rey/6929-Vista-Del-Mar-90293/home/176588735,CRMLS,SB21215191,N,Y,33.9572368,-118.4485752
