SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,90 SW 3rd St #4303,Miami,FL,33130,620000,2,2.0,IVY CONDO,1114,,2008,3,557,967,Active,,,https://www.redfin.com/FL/Miami/90-SW-3rd-St-33130/unit-4303/home/43395765,MARMLS,A11462138,N,Y,25.7703648,-80.1952141
MLS Listing,,Condo/Co-op,45 SW 9 #4203,Miami,FL,33130,1230000,3,3.0,BRICKELL HEIGHTS EAST CON,1638,,2017,1,751,1674,Active,,,https://www.redfin.com/FL/Miami/45-SW-9th-St-33130/unit-4203/home/79134739,MARMLS,A11463673,N,Y,25.7656264,-80.1937392
MLS Listing,,Condo/Co-op,88 SW 7th St #1105,Miami,FL,33130,985000,2,2.5,RISE CONDO,1202,,2016,1,819,1400,Active,,,https://www.redfin.com/FL/Miami/88-SW-7th-St-33130/unit-1105/home/110142017,MARMLS,A11464662,N,Y,25.7672413,-80.1946765
MLS Listing,,Condo/Co-op,92 SW 3rd St #1512,Miami,FL,33130,635000,2,2.0,MINT CONDOMINIUM,1099,,2010,1,578,1995,Active,,,https://www.redfin.com/FL/Miami/92-SW-3rd-St-33130/unit-1512/home/43446242,MARMLS,A11464595,N,Y,25.7700997,-80.1950909
MLS Listing,,Condo/Co-op,88 SW 7th St #2709,Miami,FL,33130,1250000,2,2.0,RISE CONDO,1249,,2016,1,1001,1300,Active,,,https://www.redfin.com/FL/Miami/88-SW-7th-St-33130/unit-2709/home/110142189,MARMLS,A11464593,N,Y,25.7672413,-80.1946765
MLS Listing,,Condo/Co-op,,Miami,FL,33131,1875000,3,2.5,,,,2016,1,,1700,Active,,,https://www.redfin.com/FL/Miami/Undisclosed-address-33130/home/56742760,MARMLS,A11464041,N,Y,25.7612047,-80.1935966
MLS Listing,,Condo/Co-op,90 SW 3rd St Unit TH302,Miami,FL,33130,575000,1,2.0,IVY CONDO,1172,,2008,2,491,979,Active,,,https://www.redfin.com/FL/Miami/90-SW-3rd-St-33130/unit-TH302/home/42675202,MARMLS,A11459834,N,Y,25.7703648,-80.1952141
MLS Listing,,Condo/Co-op,801 S Miami Ave #509,Miami,FL,33130,650000,0,1.0,801 SMA DESIGNER SUITES C,627,,2018,3,1037,650,Active,,,https://www.redfin.com/FL/Miami/801-S-Miami-Ave-33130/unit-509/home/79138332,MARMLS,A11459806,N,Y,25.765952,-80.1930337
MLS Listing,,Condo/Co-op,88 SW 7th St #2105,Miami,FL,33130,1225000,2,2.5,RISE CONDO,1202,,2016,3,1019,1442,Active,,,https://www.redfin.com/FL/Miami/88-SW-7th-St-33130/unit-2105/home/110141683,MARMLS,A11462172,N,Y,25.7672413,-80.1946765
MLS Listing,,Condo/Co-op,1100 S Miami Ave #1508,Miami,FL,33130,540000,1,1.0,1100 MILLECENTO RESIDENCE,812,,2015,3,665,642,Active,,,https://www.redfin.com/FL/Miami/1100-S-Miami-Ave-33130/unit-1508/home/55272778,MARMLS,A11462173,N,Y,25.7632808,-80.1935465
